"","ccp_res"
"DHH00001Zm00004b07151",3
"DHH00001Zm00004b07156",1
"DHH00001Zm00004b07183",1
"DHH00001Zm00004b07188",1
"DHH00001Zm00004b07214",1
"DHH00001Zm00004b07232",1
"DHH00001Zm00004b07308",2
"DHH00001Zm00004b07319",1
"DHH00001Zm00004b07323",4
"DHH00001Zm00004b07341",2
"DHH00001Zm00004b07395",3
"DHH00001Zm00004b07402",1
"DHH00001Zm00004b07432",6
"DHH00001Zm00004b07463",1
"DHH00001Zm00004b07466",3
"DHH00001Zm00004b07496",1
"DHH00001Zm00004b07508",1
"DHH00001Zm00004b07521",1
"DHH00001Zm00004b07559",1
"DHH00001Zm00004b07569",5
"DHH00001Zm00004b07570",1
"DHH00001Zm00004b07609",1
"DHH00001Zm00004b07613",1
"DHH00001Zm00004b07644",1
"DHH00001Zm00004b07646",3
"DHH00001Zm00004b07664",1
"DHH00001Zm00004b07676",1
"DHH00001Zm00004b07681",1
"DHH00001Zm00004b07707",7
"DHH00001Zm00004b07728",4
"DHH00001Zm00004b07730",1
"DHH00001Zm00004b07759",2
"DHH00001Zm00004b07787",1
"DHH00001Zm00004b07843",2
"DHH00001Zm00004b07869",1
"DHH00001Zm00004b07904",1
"DHH00001Zm00004b07912",2
"DHH00001Zm00004b07989",1
"DHH00001Zm00004b07994",1
"DHH00001Zm00004b08038",1
"DHH00001Zm00004b08057",3
"DHH00001Zm00004b08096",1
"DHH00001Zm00004b08097",1
"DHH00001Zm00004b08115",3
"DHH00001Zm00004b08129",1
"DHH00001Zm00004b08172",1
"DHH00001Zm00004b08184",1
"DHH00001Zm00004b08197",3
"DHH00001Zm00004b08200",2
"DHH00001Zm00004b08202",2
"DHH00001Zm00004b08221",1
"DHH00001Zm00004b08376",1
"DHH00001Zm00004b08423",1
"DHH00001Zm00004b08464",4
"DHH00001Zm00004b08484",2
"DHH00001Zm00004b08490",4
"DHH00001Zm00004b08496",1
"DHH00001Zm00004b08508",5
"DHH00001Zm00004b08514",2
"DHH00001Zm00004b08542",2
"DHH00001Zm00004b08617",1
"DHH00001Zm00004b08622",4
"DHH00001Zm00004b08628",3
"DHH00001Zm00004b08637",1
"DHH00001Zm00004b08650",1
"DHH00001Zm00004b08653",1
"DHH00001Zm00004b08658",1
"DHH00001Zm00004b08659",1
"DHH00001Zm00004b08706",6
"DHH00001Zm00004b08756",1
"DHH00001Zm00004b08778",4
"DHH00001Zm00004b08811",2
"DHH00001Zm00004b08819",4
"DHH00001Zm00004b08829",2
"DHH00001Zm00004b08839",2
"DHH00001Zm00004b08841",3
"DHH00001Zm00004b08856",4
"DHH00001Zm00004b08858",7
"DHH00001Zm00004b08859",1
"DHH00001Zm00004b08861",4
"DHH00001Zm00004b08866",1
"DHH00001Zm00004b08921",6
"DHH00001Zm00004b08997",1
"DHH00001Zm00004b09008",1
"DHH00001Zm00004b09026",1
"DHH00001Zm00004b09035",1
"DHH00001Zm00004b09108",1
"DHH00001Zm00004b09119",1
"DHH00001Zm00004b09138",1
"DHH00001Zm00004b09167",4
"DHH00001Zm00004b09175",1
"DHH00001Zm00004b09213",1
"DHH00001Zm00004b09239",2
"DHH00001Zm00004b09263",1
"DHH00001Zm00004b09270",1
"DHH00001Zm00004b09297",3
"DHH00001Zm00004b09311",7
"DHH00001Zm00004b09336",1
"DHH00001Zm00004b09365",4
"DHH00001Zm00004b09438",1
"DHH00001Zm00004b09443",3
"DHH00001Zm00004b09444",1
