Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
RLG33777Zm00004b00001	1.4759268169939512	-0.6568440619732909	1.2203207148381363	-0.5382552750163017	0.5904008239726359	0.8000213259214561	FALSE
RLX00094Zm00004b00014	2.7116338996413067	0.4805570777182493	0.8929280840401702	0.538181166330782	0.59045198110688	0.8000213259214561	FALSE
DHH00002Zm00004b06019	79.99419936939726	0.09153202887784125	0.17015394599557304	0.5379365629300343	0.5906208450129774	0.8000551008228666	FALSE
DTA00217Zm00004b00015	1.3544603165399387	-0.7119680252072289	1.323601735651435	-0.5379020033218835	0.590644705305472	0.8000551008228666	FALSE
DHH00002Zm00004b07998	6.054500899242679	-0.36167434902354123	0.6731425751752881	-0.5372923394859704	0.591065696110893	0.8005116429645612	FALSE
DHH00002Zm00004b01836	4.870950753194197	-0.3394015936269924	0.6323683543779479	-0.5367150194618089	0.5914644797089257	0.8009379833150121	FALSE
DTH10048Zm00004b00002	2.679863858375242	-0.42334373304632905	0.7890425436549283	-0.5365283994515128	0.5915934138494949	0.8009988349380639	FALSE
DHH00032Zm00004b00020	11.210138906618813	-0.22959210464076038	0.42808565836612783	-0.536322813329097	0.5917354664569219	0.8010774287525847	FALSE
DHH00002Zm00004b00802	31.473842827180825	-0.15083458689499052	0.2814071017479957	-0.536001351629232	0.5919576163086679	0.8011506995627956	FALSE
RLX31718Zm00004b00001	17.3364521997188	-0.19313474414432244	0.36029664726723715	-0.5360436895796914	0.5919283559856877	0.8011506995627956	FALSE
DTA00217Zm00004b00092	2.182026055293378	-0.4915406851599498	0.9179354432867218	-0.5354850264850429	0.5923145089273609	0.801519959859701	FALSE
RLG00001Zm00004b02374	1.9702509607128718	0.5821063508575367	1.0875048859903473	0.5352678027992819	0.5924646870878449	0.8016094290677765	FALSE
DHH00002Zm00004b07080	3.161233371004008	0.468782012332096	0.8771397236858605	0.5344439428215726	0.5930344234950278	0.8021625861692784	FALSE
DHH00012Zm00004b00226	2.6621933849910446	0.5277246963875325	0.9874471929071739	0.5344333349450737	0.5930417609577824	0.8021625861692784	FALSE
RLC01430Zm00004b00003	3.317725369966383	-0.4076808113161232	0.7630449786638072	-0.5342814941656865	0.5931467937062	0.8021908700584773	FALSE
DHH00009Zm00004b00540	2.1116283447907205	-0.5501334317520313	1.0306918958620266	-0.533751583728058	0.5935134151449759	0.802459085045015	FALSE
RLG32158Zm00004b00001	1.4068361359532975	-0.7053842757026647	1.3212882614256427	-0.533861002398954	0.5934377047393677	0.802459085045015	FALSE
RLG00009Zm00004b00404	1.6565368805676481	0.5459604040436177	1.0233324790522982	0.533512240859616	0.5936790398236427	0.8025692265038641	FALSE
DHH00002Zm00004b06692	2.0093640874719854	0.47729265395263126	0.8950866614130237	0.5332362491014622	0.593870051699999	0.8027136517379434	FALSE
DHH00002Zm00004b09444	2.5408501630987774	-0.4533476680430225	0.8504786059058026	-0.5330500554569323	0.5939989308402188	0.8027740652625179	FALSE
DHH00002Zm00004b04697	4.145123719689065	-0.3902325538232718	0.733297542632351	-0.5321612730658234	0.5946143026495345	0.8030941578123967	FALSE
DHH02077Zm00004b00001	20.85969447319823	-0.17153723669088689	0.32213197360330914	-0.5325060867820813	0.5943755272429426	0.8030941578123967	FALSE
DHH02122Zm00004b00001	62.44250757733325	0.10424347673103791	0.19590563939853972	0.5321106480195329	0.5946493629954851	0.8030941578123967	FALSE
DTA00231Zm00004b00039	2.524788946260724	-0.5005743325305907	0.9407526847182223	-0.5320998182221766	0.5946568632878915	0.8030941578123967	FALSE
DTA10026Zm00004b00009	3.0416918046509855	-0.44653406363514603	0.8391843326762759	-0.5321048621237799	0.5946533700743175	0.8030941578123967	FALSE
DHH00002Zm00004b02575	17.85700919903505	0.18585403990913515	0.34961797209499706	0.5315917794370008	0.5950087595619533	0.80345561189221	FALSE
DHH00001Zm00004b05675	4.108261063883286	-0.42777401586388236	0.8050242701348279	-0.531380272289477	0.5951552893501997	0.8035396912421782	FALSE
DHH00002Zm00004b00018	3.376525938660292	-0.42452001262605293	0.7993872011344307	-0.5310568045417863	0.5953794160435767	0.8037284982151114	FALSE
DTA00307Zm00004b00045	1.3627527304444838	0.5962740863857441	1.1238282636066257	0.530574026027929	0.5957139987566844	0.8038387847946431	FALSE
DTA00370Zm00004b00004	5.59821693040926	0.3735262354596521	0.7038442131959499	0.5306944753634886	0.5956305150481338	0.8038387847946431	FALSE
RST00303Zm00004b00001	40.43509590886866	0.14382069605115708	0.27097936789485394	0.5307440827264854	0.5955961336233633	0.8038387847946431	FALSE
DTA00064Zm00004b00001	3.0280298656938425	0.4890700435159345	0.92209678036099	0.5303890588626384	0.5958422103071039	0.8038980358642535	FALSE
DHH00002Zm00004b01692	90.73018597243654	0.09292772638484466	0.1752507674243699	0.5302557458126279	0.5959346251722173	0.8039089808519259	FALSE
DHH00002Zm00004b06106	2.350324979730076	-0.4409079163782001	0.8318789313195162	-0.530014524684304	0.5961018603500932	0.8039918019537163	FALSE
DHH03530Zm00004b00001	6.279263280953853	0.35015287634503733	0.661009846319455	0.5297241460088845	0.5963032041183597	0.8039918019537163	FALSE
DTA00159Zm00004b00006	1.7378644456480885	0.5618695455958524	1.0607700900940726	0.5296807959074562	0.5963332650187327	0.8039918019537163	FALSE
DTH15359Zm00004b00045	1.5161344726395982	-0.5856051852190864	1.1052331214851354	-0.5298476618509143	0.5962175564913874	0.8039918019537163	FALSE
DHH00002Zm00004b01262	2.3836162245364956	-0.520023455607136	0.9845462368179807	-0.5281859156638837	0.5973703039096742	0.804325979346795	FALSE
DHH00002Zm00004b07934	25.62559100416879	-0.15183149677139063	0.2873319195316799	-0.52841848207766	0.5972089124445845	0.804325979346795	FALSE
DHH00026Zm00004b00002	1.350228026883681	-0.7202419711736907	1.3622869437466274	-0.5287006342385154	0.597013137150141	0.804325979346795	FALSE
DHH04191Zm00004b00001	23.590289806609544	0.16840704228822603	0.3187704415575439	0.5283019387411598	0.5972897862176485	0.804325979346795	FALSE
DTA00383Zm00004b00028	3.8590326868447833	0.3882874207644789	0.7352428804609445	0.5281076921425618	0.5974245922518192	0.804325979346795	FALSE
DTT10172Zm00004b00003	1.6940037288397771	-0.5976275200989601	1.1302931770378926	-0.528736731531137	0.5969880926364205	0.804325979346795	FALSE
RLC00607Zm00004b00005	9.815818244157418	0.2518111421517592	0.47627670345459766	0.528707661586819	0.5970082614971284	0.804325979346795	FALSE
RLC01524Zm00004b00002	1.8078634582140887	0.5321464257127654	1.0072117002800582	0.5283362232237776	0.5972659944179304	0.804325979346795	FALSE
RLG00006Zm00004b02693	1.8153039929583037	0.505462908905952	0.9570253429543953	0.5281604219022636	0.59738799673094	0.804325979346795	FALSE
RLG00007Zm00004b00162	31.884345025432637	0.14113913558611255	0.26678341396017025	0.5290401434295465	0.5967776025749703	0.804325979346795	FALSE
DHH00002Zm00004b02882	93.12129730261572	0.08884606279944074	0.1683134152447656	0.5278608521503682	0.5975959177544983	0.8043731001058737	FALSE
RLG00007Zm00004b01252	1.4683620843268446	-0.5335571612071194	1.0108806325231092	-0.5278142087611141	0.5976282942795842	0.8043731001058737	FALSE
DTA00169Zm00004b00187	1.642975983013832	-0.5527944563892057	1.048472782024302	-0.5272377746629885	0.5980284796320027	0.8044575513853545	FALSE
DTM00473Zm00004b00059	10.448489578693875	0.25208868754519	0.4780338882114707	0.5273448049642707	0.5979541653927481	0.8044575513853545	FALSE
RLG00001Zm00004b11622	1.6397136047443044	0.5799287941174821	1.0999028569894929	0.5272545574659072	0.5980168265684205	0.8044575513853545	FALSE
RLG05485Zm00004b00001	2.319377906823372	0.5330561362423596	1.0107727440733845	0.5273748618251805	0.5979332967976551	0.8044575513853545	FALSE
RLG00047Zm00004b00014	1.9834035266670222	-0.4631223010974328	0.8790310880736181	-0.5268554290979146	0.5982939874809077	0.8047011938812321	FALSE
DHH00002Zm00004b00185	158.31742765302485	0.11740966567442972	0.22302348795180155	0.5264452939584712	0.5985788523870716	0.8047100094052041	FALSE
DHH00002Zm00004b00830	3.7896458112394176	0.42718646252486886	0.8112697727425429	0.5265652399210452	0.5984955359312667	0.8047100094052041	FALSE
RLC00054Zm00004b00048	2.7672450432353464	-0.4413241799049546	0.838288140120247	-0.5264588138413238	0.5985694609890087	0.8047100094052041	FALSE
RLC01185Zm00004b00003	2.2582357317168205	-0.469488154660292	0.8919525351172805	-0.526360020489835	0.5986380879530744	0.8047100094052041	FALSE
DHH00002Zm00004b01570	8.534855745360131	0.2666117064862347	0.5068438969768218	0.5260233142324431	0.5988720083138834	0.804840173558805	FALSE
DHH00130Zm00004b00007	26.863970989165743	0.14668231692437916	0.2788755576478101	0.5259776732015474	0.5989037197539094	0.804840173558805	FALSE
DHH02325Zm00004b00001	492.5996058835392	0.049439872121250485	0.09404197463899389	0.5257213314696879	0.5990818404235974	0.8048526951647541	FALSE
RLG00001Zm00004b01648	4.236035076106989	0.36450324828024466	0.6931969439517884	0.5258292776108887	0.5990068304398188	0.8048526951647541	FALSE
RLC00034Zm00004b00002	1.8519099389463556	-0.535117515884757	1.0181798807820979	-0.5255628460009595	0.599191977060987	0.8048872648617513	FALSE
DHH00002Zm00004b02275	6.112328494690454	0.319075888730356	0.6072577239014635	0.5254373492038625	0.5992791953205538	0.8048910431798312	FALSE
RLC00176Zm00004b00015	10.74574402096983	-0.25758802449613183	0.49045221323146193	-0.5252051424112278	0.5994405904796691	0.804994433293075	FALSE
DHH00002Zm00004b02598	1.303977219232893	0.7028716478724334	1.3431150198459714	0.5233145616620674	0.6007553692285745	0.8066464659199785	FALSE
RLC25045Zm00004b00013	1.755929443778736	-0.5941820179833445	1.1360890316974548	-0.5230065614624978	0.6009696871633086	0.8068206302673955	FALSE
